id_revision,vehiculo,tipo_vehiculo,presion_bar,estado_presion
REV-0990,Mazda CX-5 2023,Minivan,1.72,Baja
REV-0991,Audi A4 2024,Compacto,2.64,Normal
REV-0992,Ford Escape 2023,Camioneta,1.95,Baja
REV-0993,Mazda CX-5 2023,Lujo,2.26,Normal
REV-0994,Jeep Wrangler 2022,Minivan,3.54,Alta
REV-0995,RAM 1500 2023,Camioneta,3.11,Alta
REV-0996,Subaru Outback 2024,Lujo,2.91,Alta
REV-0997,Mazda CX-5 2023,SUV,1.33,Muy baja
REV-0998,Chevrolet Silverado 2024,Sedán,1.73,Baja
REV-0999,Ford Ranger 2023,Compacto,3.72,Peligrosa
REV-1000,Toyota Corolla 2023,Camioneta,2.06,Baja
